step_id,cmd_deg,wheel,Td_s,rate_deg_s
34,-90.0,L,0.12852001190185547,10.019935694569037
32,-80.0,L,0.12835216522216797,10.12680425155763
30,-70.0,L,0.37993502616882324,9.99407971434804
28,-59.99999999999999,L,0.2539799213409424,10.681464015157383
26,-50.0,L,0.2536001205444336,10.593849432417336
24,-40.0,L,0.2857072353363037,11.88269819283079
22,-29.999999999999996,L,0.25191450119018555,9.82074217313151
2,20.0,L,0.2503983974456787,-12.57293320528326
4,29.999999999999996,L,0.12499213218688965,-11.450227033553931
6,40.0,L,0.12508749961853027,-11.506101789823473
8,50.0,L,0.13924050331115723,-11.639478617178247
10,59.99999999999999,L,0.01456904411315918,-11.03222855735433
12,70.0,L,0.04217362403869629,-11.342283190611592
14,80.0,L,0.12595677375793457,-11.593162009614948
16,90.0,L,0.12586450576782227,-11.370134974741385
34,-90.0,R,0.12852001190185547,10.50654973087815
32,-80.0,R,0.12835216522216797,10.23775348638575
30,-70.0,R,0.25327587127685547,10.15169987008034
28,-59.99999999999999,R,0.2539799213409424,9.876278979842345
26,-50.0,R,0.2536001205444336,10.156598023741958
24,-40.0,R,0.030947208404541016,9.82685351274472
22,-29.999999999999996,R,0.25191450119018555,10.10572684052167
20,-20.0,R,0.12708592414855957,8.534177538939133
4,29.999999999999996,R,0.12499213218688965,-8.200262346025491
6,40.0,R,0.2506563663482666,-11.135243951418985
8,50.0,R,0.014180421829223633,-9.071844697701193
10,59.99999999999999,R,0.01456904411315918,-9.788821934550521
12,70.0,R,0.04217362403869629,-9.815334333638155
14,80.0,R,0.12595677375793457,-9.529755022995174
16,90.0,R,0.12586450576782227,-9.16239612163237
