step_id,cmd_deg,wheel,Td_s,rate_deg_s
34,-90.0,L,0.10010123252868652,11.559934857217828
32,-80.0,L,0.09981966018676758,11.559957222873255
30,-70.0,L,0.10008811950683594,11.559871332904892
28,-59.99999999999999,L,0.10013675689697266,11.560162869790863
26,-50.0,L,0.1000361442565918,11.56076767738178
24,-40.0,L,0.09971761703491211,11.558225488618275
22,-29.999999999999996,L,0.1000833511352539,11.55998579873062
20,-20.0,L,0.1000509262084961,11.561929440953456
2,20.0,L,0.09997963905334473,-10.449765090786713
4,29.999999999999996,L,0.1002342700958252,-10.449703329664093
6,40.0,L,0.09972453117370605,-10.45019866399279
8,50.0,L,0.09985017776489258,-10.44978422066132
10,59.99999999999999,L,0.10006570816040039,-10.45003261345839
12,70.0,L,0.09980940818786621,-10.450109238064725
14,80.0,L,0.100341796875,-10.450093281304987
16,90.0,L,0.10004615783691406,-10.449951027723197
34,-90.0,R,0.11647343635559082,9.529881582662096
32,-80.0,R,0.11648869514465332,9.529931091130662
30,-70.0,R,0.11673831939697266,9.529913641227623
28,-59.99999999999999,R,0.1166985034942627,9.530022680237858
26,-50.0,R,0.11662983894348145,9.530209761918478
24,-40.0,R,0.11638236045837402,9.529560067677224
22,-29.999999999999996,R,0.11672663688659668,9.53051228399778
20,-20.0,R,0.11678290367126465,9.531114834634014
2,20.0,R,0.1167290210723877,-9.919777004842503
4,29.999999999999996,R,0.11680388450622559,-9.91987628790018
6,40.0,R,0.11631226539611816,-9.920100894416226
8,50.0,R,0.11653947830200195,-9.919943666439991
10,59.99999999999999,R,0.11668133735656738,-9.92015478398214
12,70.0,R,0.1165168285369873,-9.919918003899983
14,80.0,R,0.11670947074890137,-9.920000927050207
16,90.0,R,0.1167607307434082,-9.919925822227333
